1|Johnson,Debbie|dejohns2@wsc.edu|111-222-3333|12/31/2019|13:40
abc|Johnson|dejohns2@gmail.com|1112223333|12/31/80|1340
1234|Nissen,Jonathan|joniss01@wsc.edu|111/222/3333|13/32/2024|24:59
123|Bob,Billy|billybob@wsc.edu|123-456-7890|07/04/2024
24|Nissen,Jonathan|joniss01@wsc.edu|111-222-3333|07/24/2003|10:17
123abc|Guy,Cool|coolguy.com|1-800-588-2300|01-01/2024|00:28
12|Data,No|nodata@gmail.com|12:30
aa|Doe,John|johndoe@wsc.edu|111-22-3333|05/03/2024|9:00
19|Joe|JoeJoe@gmail.com|123-456-7890|111/24/2024|23:0
001|Valid,Data|ilovedata@wsc.edu|123-123-1234|04/24/1999|12:00
